0,102,62,1,0,0,852,,,,,,,,
1,229,210,26,0,0,282,,,,,,,,
2,152,126,1,0,0,6007,,,,,,,,
3,77,59,1,0,0,272,,,,,,,,
4,244,249,1,0,0,1380,,,,,,,,
5,176,159,9,0,0,2932,,,,,,,,
6,103,69,0,0,0,852,,,,,,,,
7,263,249,0,0,0,3121,,,,,,,,
8,133,99,14,0,0,1683,,,,,,,,
9,69,56,35,0,0,2352,,,,,,,,
10,48,37,1,0,0,3415,,,,,,,,
11,213,203,0,0,0,327,,,,,,,,
12,121,81,138,0,0,4248,,,,,,,,
13,155,144,39,0,0,1384,,,,,,,,
14,72,70,164,0,0,6104,,,,,,,,
15,35,24,160,0,0,1303,,,,,,,,
16,267,213,1,0,0,561,,,,,,,,
17,163,144,0,0,0,2467,,,,,,,,
18,275,217,32,0,0,5041,,,,,,,,
19,707,672,49,0,0,90,,,,,,,,
20,88,69,1,0,0,5363,,,,,,,,
21,112,118,0,0,0,1765,,,,,,,,
22,144,98,1,0,0,2638,,,,,,,,
23,207,133,1,0,0,5285,,,,,,,,
24,222,202,16,0,0,4031,,,,,,,,
25,45,41,5,0,0,1155,,,,,,,,
26,155,122,0,0,0,6007,,,,,,,,
27,200,157,46,0,0,1960,,,,,,,,
28,134,124,16,0,0,1530,,,,,,,,
29,118,105,1,0,0,2796,,,,,,,,
30,208,181,1,0,0,5660,,,,,,,,
31,203,178,16,0,0,4338,,,,,,,,
32,203,200,24,0,0,5870,,,,,,,,
33,380,317,62,0,0,1020,,,,,,,,
34,428,391,0,0,0,284,,,,,,,,
35,470,458,1,0,0,2140,,,,,,,,
36,169,124,0,0,0,3509,,,,,,,,
37,156,136,0,0,0,3718,,,,,,,,
38,144,97,1,0,0,2638,,,,,,,,
39,58,28,1,0,0,3231,,,,,,,,
40,125,111,1,0,0,4943,,,,,,,,
41,230,193,24,0,0,3932,,,,,,,,
42,47,28,1,0,0,1736,,,,,,,,
43,47,21,1,0,0,390,,,,,,,,
44,278,248,1,0,0,4883,,,,,,,,
45,75,54,1,0,0,272,,,,,,,,
46,78,53,1,0,0,5124,,,,,,,,
47,111,88,1,0,0,4122,,,,,,,,
48,136,114,1,0,0,3621,,,,,,,,
49,136,107,9,0,0,5662,,,,,,,,
50,146,129,1,0,0,1785,,,,,,,,
51,99,83,0,0,0,5192,,,,,,,,
52,232,182,1,0,0,463,,,,,,,,
53,82,59,1,0,0,1245,,,,,,,,
54,187,163,0,0,0,4079,,,,,,,,
55,206,145,399,0,1,5298,,,,,,,,
56,37,15,469,0,1,4380,,,,,,,,
57,159,127,342,0,1,834,,,,,,,,
58,315,279,339,0,1,4987,,,,,,,,
59,42,25,1,0,0,390,,,,,,,,
60,254,220,14,0,0,5831,,,,,,,,
61,97,65,1,0,0,255,,,,,,,,
62,50,31,37,0,0,3334,,,,,,,,
63,290,290,1,0,0,1651,,,,,,,,
64,384,392,1,0,0,3693,,,,,,,,
65,226,195,0,0,0,1089,,,,,,,,
66,86,60,1,0,0,1245,,,,,,,,
67,127,95,6,0,0,2472,,,,,,,,
68,77,45,2,0,0,830,,,,,,,,
69,372,328,80,0,0,4186,,,,,,,,
70,402,415,23,0,0,4647,,,,,,,,
71,302,293,71,0,0,5134,,,,,,,,
72,343,330,112,0,0,6133,,,,,,,,
73,287,258,86,0,0,3305,,,,,,,,
74,567,513,1,0,0,2956,,,,,,,,
75,452,391,51,0,0,2552,,,,,,,,
76,394,365,90,0,0,3846,,,,,,,,
77,172,154,1,0,0,4129,,,,,,,,
78,298,250,0,0,0,2609,,,,,,,,
79,74,43,1,0,0,830,,,,,,,,
